Event.ID,Disease,Serotype,Region,Subregion,Country,Admin.level.1,Locality,Latitude,Longitude,Diagnosis.source,Diagnosis.status,Animal.type,Species,Observation.date..dd.mm.yyyy.,Report.date..dd.mm.yyyy.,Humans.affected,Human.deaths
334852,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Belgium,Vlaams Gewest,Deurne,51.196753,4.46291,OIE,Confirmed,Wild,Muscovy Duck:cairina Moschata(Anatidae),20/10/2022,07/11/2022,,
333839,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Slovenia,Pomurska,Apace,46.696694,15.911144,OIE,Confirmed,Wild,Mute Swan:cygnus Olor(Anatidae),19/10/2022,23/10/2022,,
334093,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Belgium,Region wallonne,Frasnes-les-Avaing,50.68861,3.53455,OIE,Confirmed,Wild,Phasianus Colchicus (Common Pheasant) - Phasanidae,19/10/2022,26/10/2022,,
335079,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,Westleton  Suffolk,52.24,1.62,OIE,Confirmed,Wild,Barnacle Goose:branta Leucopsis(Anatidae),19/10/2022,04/11/2022,,
335080,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,Uttlesford  Essex,52.02,0.22,OIE,Confirmed,Wild,Canada Goose:branta Canadensis(Anatidae),19/10/2022,04/11/2022,,
335603,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Spain,Pa?s Vasco/Euskadi,Vitoria-Gasteiz,42.85839,-2.63319,OIE,Confirmed,Wild,Greylag Goose:anser Anser(Anatidae),19/10/2022,18/11/2022,,
335603,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Spain,Pa?s Vasco/Euskadi,Vitoria-Gasteiz,42.85839,-2.63319,OIE,Confirmed,Wild,Stork,19/10/2022,18/11/2022,,
335604,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Spain,Galicia,Cerceda,43.104547,-8.499328,OIE,Confirmed,Wild,Yellow-Legged Gull ,19/10/2022,18/11/2022,,
336325,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,Les Landes-Genusson (85119),46.96411,-1.142358,OIE,Confirmed,Wild,Grey Heron:ardea Cinerea(Ardeidae),19/10/2022,25/11/2022,,
336326,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Lorraine,Mangiennes (55316),49.34476,5.509511,OIE,Confirmed,Wild,Mute Swan:cygnus Olor(Anatidae),17/10/2022,25/11/2022,,
336327,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Lorraine,Billy-sous-Mangiennes (55053),49.313127,5.522187,OIE,Confirmed,Wild,Mute Swan:cygnus Olor(Anatidae),17/10/2022,25/11/2022,,
336328,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Centre,Neung-sur-Beuvron (41159),47.55155,1.768822,OIE,Confirmed,Wild,Great Egret (Ardea Alba),17/10/2022,25/11/2022,,
335758,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Spain,Pa?s Vasco/Euskadi,Santurtzi,43.338763,-3.08,OIE,Confirmed,Wild,Northern Gannet:morus Bassanus(Sulidae),15/10/2022,18/11/2022,,
336329,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Picardie,Fort-Mahon-Plage (80333),50.337,1.564344,OIE,Confirmed,Wild,Black Headed Gull (Chroicocephalus Ridibundus),13/10/2022,25/11/2022,,
333633,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Belgium,Region wallonne,Rochefort,50.1547,5.2218,OIE,Confirmed,Wild,Canada Goose:branta Canadensis(Anatidae),12/10/2022,18/10/2022,,
333637,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Emilia-romagna,Comacchio,44.78527,12.202284,OIE,Confirmed,Wild,Mallard:anas Platyrhynchos(Anatidae),12/10/2022,19/10/2022,,
333637,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Emilia-romagna,Comacchio,44.78527,12.202284,OIE,Confirmed,Wild,Teal,12/10/2022,19/10/2022,,
333638,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Emilia-romagna,Cadelbosco Di Sopra,44.776,10.6163,OIE,Confirmed,Wild,Mallard:anas Platyrhynchos(Anatidae),12/10/2022,19/10/2022,,
333776,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Veneto,Campagna Lupia,45.377572,12.128711,OIE,Confirmed,Wild,Teal,12/10/2022,19/10/2022,,
333837,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,Isle of Man,Bride,Bride  Isle of Man,54.39,-4.4,OIE,Confirmed,Wild,Rook,12/10/2022,21/10/2022,,
336330,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Lorraine,Damvillers (55145),49.35834,5.403552,OIE,Confirmed,Wild,Mute Swan:cygnus Olor(Anatidae),12/10/2022,25/11/2022,,
333631,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Belgium,Vlaams Gewest,Brugge,51.2314,3.197488,OIE,Confirmed,Wild,Canada Goose:branta Canadensis(Anatidae),11/10/2022,18/10/2022,,
333632,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Belgium,Region wallonne,Clavier,50.4325,5.2497,OIE,Confirmed,Wild,Buzzard,11/10/2022,18/10/2022,,
336331,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Bretagne,Chanteloup (35054),47.94342,-1.648055,OIE,Confirmed,Wild,Greylag Goose:anser Anser(Anatidae),11/10/2022,25/11/2022,,
333639,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Lombardia,Quinzano d' Oglio,45.31302,10.00632,OIE,Confirmed,Wild,Mallard:anas Platyrhynchos(Anatidae),10/10/2022,19/10/2022,,
333640,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Lombardia,Seniga,45.24626,10.190601,OIE,Confirmed,Wild,Eurasian Wigeon:anas Penelope(Anatidae),10/10/2022,19/10/2022,,
